OBJECTID,GEOID,STATE,COUNTY,TRACT,LOWMOD,LOWMODUNIV,LOWMODPCT,UCLMOD,UCLMODU,UCLMODPCT,SHAPE_Length,SHAPE_Area
38268,47157008700,47,157,008700,1690,4065,41.57,NA,NA,NA,0.0699561046100119,2.8325311857854e-4
38269,47157008800,47,157,008800,4430,6725,65.87,NA,NA,NA,0.0753458841489034,3.04235027822e-4
38274,47157022130,47,157,022130,2615,6265,41.74,NA,NA,NA,0.110382304566762,4.9737806724968e-4
38275,47157021138,47,157,021138,390,3050,12.79,NA,NA,NA,0.135099137717956,9.3360903356143e-4
38277,47157021111,47,157,021111,1655,3750,44.13,NA,NA,NA,0.136897327598366,6.7411619830933e-4
38278,47157021137,47,157,021137,1760,8450,20.83,NA,NA,NA,0.102206411084277,6.026153155829e-4
38280,47157003700,47,157,003700,765,1070,71.5,NA,NA,NA,0.0378323466973452,6.87257081715715e-5
38281,47157003800,47,157,003800,905,1030,87.86,NA,NA,NA,0.0339361065856508,7.09198616820114e-5
38282,47157003900,47,157,003900,865,1495,57.86,NA,NA,NA,0.0342110326449601,5.86245324950795e-5
38283,47157004200,47,157,004200,685,1960,34.95,NA,NA,NA,0.0757457585386936,2.6538192082127e-4
38290,47157020300,47,157,020300,2415,4995,48.35,NA,NA,NA,0.248289814476499,0.00153133472447686
38293,47157022410,47,157,022410,2885,6755,42.71,NA,NA,NA,0.218472722671599,0.00133357151739329
38311,47157007822,47,157,007822,1020,1595,63.95,NA,NA,NA,0.0773515650096428,2.3063163490847e-4
38313,47157021352,47,157,021352,515,6975,7.38,NA,NA,NA,0.124253302020123,6.3648141864807e-4
38319,47157021724,47,157,021724,825,2130,38.73,NA,NA,NA,0.0704784998817051,2.1967938354635e-4
38320,47157021744,47,157,021744,1390,5695,24.41,NA,NA,NA,0.0839544584672538,3.5091267814298e-4
38321,47157007400,47,157,007400,1525,2830,53.89,NA,NA,NA,0.055692235425736,1.6738643404848e-4
38323,47157021745,47,157,021745,1185,6960,17.03,NA,NA,NA,0.113588002821578,5.5440967731352e-4
38324,47157021731,47,157,021731,2135,3170,67.35,NA,NA,NA,0.0691440151826793,2.9751193551806e-4
38325,47157007100,47,157,007100,755,2415,31.26,NA,NA,NA,0.0596269175867707,1.7759646383053e-4
38326,47157007200,47,157,007200,480,2440,19.67,NA,NA,NA,0.0627297751929209,2.2000409660294e-4
38327,47157007300,47,157,007300,900,2030,44.33,NA,NA,NA,0.0600596022502298,1.8957361129865e-4
38328,47157021353,47,157,021353,310,9680,3.2,NA,NA,NA,0.185842801994915,0.00161520843400602
38329,47157021710,47,157,021710,1445,2220,65.09,NA,NA,NA,0.0863777290660799,2.3857922766102e-4
38335,47157006700,47,157,006700,3215,4000,80.38,NA,NA,NA,0.0715924167479084,1.8534808330145e-4
38342,47157000200,47,157,000200,830,1100,75.45,NA,NA,NA,0.0520245883698091,1.0904168338946e-4
38355,47157006600,47,157,006600,1070,2130,50.23,NA,NA,NA,0.0644894810232382,2.063724357404e-4
38356,47157021612,47,157,021612,505,4920,10.26,NA,NA,NA,0.0842572740833198,3.8523457789356e-4
38372,47157022023,47,157,022023,1945,3310,58.76,NA,NA,NA,0.0569081759260876,1.4185615018656e-4
38373,47157022024,47,157,022024,1545,3900,39.62,NA,NA,NA,0.0725646001522439,2.5543709791248e-4
38375,47157022700,47,157,022700,4465,7495,59.57,NA,NA,NA,0.119127439806328,8.1944110250155e-4
38400,47157007821,47,157,007821,4250,6535,65.03,NA,NA,NA,0.105690432608752,3.4518776520856e-4
38401,47157020101,47,157,020101,3955,5925,66.75,NA,NA,NA,0.829686863088619,0.0169824722859642
